epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.91225,1.23228,2.48522,1.65403,0,0,0,0,nan,nan,nan,0.00022,0.00022,0.00022
2,12.891,0.89141,1.21877,1.34499,0,0,0,0,nan,nan,nan,0.000457723,0.000457723,0.000457723
3,18.9137,0.75542,1.20027,1.22918,0,0,0,0,nan,nan,nan,0.00069307,0.00069307,0.00069307
4,24.923,0.81125,0.89388,1.24187,0,0,0,0,nan,nan,nan,0.000926041,0.000926041,0.000926041
5,30.879,0.696,0.88958,1.17781,0,0,0,0,nan,nan,nan,0.00115664,0.00115664,0.00115664
6,36.7707,0.71818,0.80543,1.22402,0,0,0,0,nan,nan,nan,0.00138485,0.00138485,0.00138485
7,42.6678,0.86523,0.85252,1.30204,0,0,0,0,nan,nan,nan,0.0016107,0.0016107,0.0016107
8,48.5124,0.80057,0.84754,1.22665,0,0,0,0,nan,nan,nan,0.00183416,0.00183416,0.00183416
9,55.1002,0.70023,0.76847,1.19311,0.03002,0.08642,0.00775,0.0017,nan,nan,nan,0.0019208,0.0019208,0.0019208
10,60.9528,0.62064,0.70099,1.12024,0,0,0,0,nan,nan,nan,0.0019109,0.0019109,0.0019109
11,66.6826,0.57413,0.698,1.08153,0.36893,0.46914,0.33141,0.21008,0.92671,14.3232,1.9494,0.001901,0.001901,0.001901
12,72.5837,0.57402,0.64501,1.12016,0.46452,0.83951,0.75135,0.49187,1.01862,6.4469,2.10664,0.0018911,0.0018911,0.0018911
13,78.4992,0.54622,0.61211,1.08351,0.63189,0.81481,0.80812,0.58754,0.75991,4.09631,1.44168,0.0018812,0.0018812,0.0018812
14,84.377,0.54296,0.65493,1.08125,0.76673,0.97388,0.94512,0.79162,0.59795,3.71377,1.07486,0.0018713,0.0018713,0.0018713
15,90.2542,0.60181,0.61656,1.12346,0.67667,0.65432,0.72443,0.52233,0.77656,4.16477,1.28329,0.0018614,0.0018614,0.0018614
16,96.0046,0.55611,0.58987,1.07327,0.71165,0.61728,0.65743,0.4888,0.94271,2.97775,1.59978,0.0018515,0.0018515,0.0018515
